id,titol,any,convocatoria,serie,exercici,opcio,format,curriculum,bloc,subtemes,tipus,dificultat,punts_total,n_apartats,n_figures,paraules_clau,revisat
2013_ord_s3_P3A_fotoelectric-plom-constant-planck,Efecte fotoelèctric en una placa de plom i constant de Planck,2013,ordinaria,3,3,A,antic,actual,"Física relativista, quàntica i nuclear",efecte fotoelèctric; fotons i energia de la radiació,càlcul; deducció,3,2,2,0,efecte fotoelèctric; plom; radiació ultraviolada; potencial de frenada; funció de treball; constant de Planck; velocitat dels fotoelectrons,False
2013_ord_s3_P3B_poloni-210-desintegracio-alfa,Desintegració alfa del poloni 210,2013,ordinaria,3,3,B,antic,actual,"Física relativista, quàntica i nuclear",radioactivitat i llei de desintegració; reaccions nuclears i defecte de massa,càlcul,2,2,2,0,poloni 210; desintegració alfa; plom; període de semidesintegració; constant de desintegració; llei de desintegració radioactiva,False
2013_ord_s3_P4A_bobina-flux-grafica-fem,Flux i FEM en una bobina dins d'un camp magnètic variable (gràfica B-t),2013,ordinaria,3,4,A,antic,actual,Camps electromagnètics,flux magnètic i inducció (Faraday-Lenz),càlcul; gràfic,3,2,2,1,bobina; flux magnètic; inducció electromagnètica; llei de Faraday; força electromotriu; gràfica B(t); espires quadrades,False
2013_ord_s3_P4B_molla-mhs-energies-equacio,Massa i molla en MHS a partir de les energies inicials,2013,ordinaria,3,4,B,antic,actual,Vibracions i ones,moviment harmònic simple; energia del MHS,càlcul,3,2,2,0,molla; moviment harmònic simple; energia cinètica; energia potencial elàstica; constant recuperadora; amplitud; fase inicial; equació del moviment,False
2013_ord_s3_P5A_guitarra-corda-nivell-sonor,Ona estacionària en una corda de guitarra i nivell d'intensitat sonora,2013,ordinaria,3,5,A,antic,actual,Vibracions i ones,ones estacionàries; ressonància i harmònics en tubs i cordes; ones sonores i nivell d'intensitat,càlcul,2,2,2,0,guitarra; corda; ona estacionària; mode fonamental; velocitat de propagació; nivell d'intensitat sonora; decibels; intensitat llindar,False
2013_ord_s3_P5B_generador-bobina-transformador,Petit generador de corrent altern i transformador,2013,ordinaria,3,5,B,antic,actual,Camps electromagnètics,"generadors, motors i transformadors; flux magnètic i inducció (Faraday-Lenz)",càlcul; gràfic,3,2,2,1,generador; corrent altern; bobina giratòria; força electromotriu; transformador; primari; secundari; valors eficaços,False
2013_ord_s4_P1_ceres-planeta-nan,"Camp gravitatori, escapament i òrbita del planeta nan Ceres",2013,ordinaria,4,1,,antic,actual,Camps gravitatoris,camp gravitatori i superposició; velocitat d'escapament; lleis de Kepler,càlcul,2,2,2,1,Ceres; planeta nan; cinturó d'asteroides; intensitat de camp gravitatori; velocitat d'escapament; energia mecànica; tercera llei de Kepler; distància mitjana al Sol,False
2013_ord_s4_P2_vibracions-molesties-mhs,Vibracions molestes de 6 Hz i moviment harmònic simple,2013,ordinaria,4,2,,antic,actual,Vibracions i ones,moviment harmònic simple,càlcul,1,2,2,0,vibracions; confort; acceleració màxima; amplitud; freqüència; constant elàstica; molla; oscil·lador harmònic,False
2013_ord_s4_P3A_llentia-carregada-lamines,Llentia carregada penjada d'un fil entre dues làmines,2013,ordinaria,4,3,A,antic,actual,Camps electromagnètics,equilibri de càrregues en camps elèctrics; potencial i energia potencial elèctrica,càlcul; diagrama,3,2,2,2,pèndol elèctric; llentia carregada; làmines paral·leles; camp elèctric uniforme; equilibri; tensió del fil; angle; diferència de potencial,False
2013_ord_s4_P3B_quadrat-dues-carregues,Camp i treball amb dues càrregues en els vèrtexs d'un quadrat,2013,ordinaria,4,3,B,antic,actual,Camps electromagnètics,camp elèctric i llei de Coulomb; potencial i energia potencial elèctrica,càlcul,3,2,2,1,càrregues puntuals; quadrat; principi de superposició; camp elèctric; potencial elèctric; treball de la força elèctrica; dipol,False
2013_ord_s4_P4A_americi-241-seaborg,Obtenció de l'americi 241 a partir del plutoni,2013,ordinaria,4,4,A,antic,actual,"Física relativista, quàntica i nuclear",reaccions nuclears i defecte de massa; radioactivitat i llei de desintegració,càlcul; context-històric,2,2,2,1,americi 241; plutoni; Seaborg; captura de neutrons; desintegració beta; conservació del nombre màssic; període de semidesintegració; percentatge desintegrat,False
2013_ord_s4_P4B_datacio-potassi-argo,Datació radiomètrica amb el rellotge potassi-argó,2013,ordinaria,4,4,B,antic,actual,"Física relativista, quàntica i nuclear",radioactivitat i llei de desintegració; reaccions nuclears i defecte de massa; aplicacions i riscos de la radioactivitat,càlcul,3,2,2,0,potassi 40; argó 40; datació radiomètrica; desintegració beta; positró; període de semidesintegració; edat d'una roca; geologia,False
2013_ord_s4_P5A_espira-circular-flux-fem,Flux i FEM induïda en una espira circular amb camp decreixent,2013,ordinaria,4,5,A,antic,actual,Camps electromagnètics,flux magnètic i inducció (Faraday-Lenz),càlcul; qualitativa; gràfic,2,2,2,1,espira circular; flux magnètic; angle amb la normal; llei de Faraday; força electromotriu induïda; camp magnètic variable; gràfica B-t,False
2013_ord_s4_P5B_espira-triangular-fem,FEM induïda en una espira triangular que entra en un camp magnètic,2013,ordinaria,4,5,B,antic,actual,Camps electromagnètics,flux magnètic i inducció (Faraday-Lenz),càlcul; gràfic; qualitativa,4,2,2,2,espira triangular; camp magnètic uniforme; flux magnètic; àrea variable; llei de Faraday; llei de Lenz; força electromotriu induïda; sentit del corrent; gràfica FEM-temps,False
2014_ext_s5_P2_bohr-hidrogen-forca-frequencia,"Força elèctrica, freqüència i energia de l'electró en el model de Bohr",2014,extraordinaria,5,2,,antic,actual,Camps electromagnètics,camp elèctric i llei de Coulomb; potencial i energia potencial elèctrica; model de Bohr i espectres atòmics,càlcul,3,2,2,1,àtom d'hidrogen; model de Bohr; Niels Bohr; llei de Coulomb; força elèctrica; freqüència de gir; acceleració centrípeta; energia mecànica,False
2014_ext_s5_P3A_fotoelectric-coure-grafica,Efecte fotoelèctric en el coure a partir d'una gràfica,2014,extraordinaria,5,3,A,antic,actual,"Física relativista, quàntica i nuclear",efecte fotoelèctric; fotons i energia de la radiació,càlcul; gràfic; qualitativa,3,2,2,1,efecte fotoelèctric; coure; freqüència llindar; constant de Planck; pendent; energia cinètica; gràfica; velocitat dels electrons,False
2014_ext_s5_P3B_tub-buit-fotoelectric-coure,Tub de buit amb efecte fotoelèctric en un elèctrode de coure,2014,extraordinaria,5,3,B,antic,actual,"Física relativista, quàntica i nuclear",efecte fotoelèctric; fotons i energia de la radiació; moviment de càrregues en camps elèctrics,càlcul,4,2,2,1,tub de buit; efecte fotoelèctric; coure; treball d'extracció; camp elèctric uniforme; diferència de potencial; conservació de l'energia; electronvolt,False
2014_ext_s5_P4A_fil-suspes-camp-magnetic-espira,Fil conductor suspès per un camp magnètic i espira sense FEM induïda,2014,extraordinaria,5,4,A,antic,actual,Camps electromagnètics,força magnètica sobre corrents i entre fils; flux magnètic i inducció (Faraday-Lenz),càlcul; qualitativa,3,2,2,0,fil conductor; levitació magnètica; força de Lorentz sobre un corrent; producte vectorial; pes; espira circular; flux magnètic; FEM induïda,False
2014_ext_s5_P4B_selector-velocitats-electrons,Selector de velocitats per a electrons i moviment circular en el camp magnètic,2014,extraordinaria,5,4,B,antic,actual,Camps electromagnètics,"selector de velocitats, espectròmetre i ciclotró; moviment de càrregues en camps magnètics",càlcul; diagrama; qualitativa,3,2,2,3,selector de velocitats; electrons; força elèctrica; força magnètica; força de Lorentz; moviment circular uniforme; radi de gir; freqüència de ciclotró,False
2014_ext_s5_P5A_molla-grafica-massa-periode,Constant elàstica d'una molla a partir de la gràfica massa–període al quadrat,2014,extraordinaria,5,5,A,antic,actual,Vibracions i ones,moviment harmònic simple; energia del MHS,càlcul; gràfic; experimental,2,2,2,1,molla; constant elàstica; període d'oscil·lació; gràfica massa-període; energia cinètica màxima; acceleració màxima; fregament; treball,False
2014_ext_s5_P5B_tub-ressonancia-diapaso-decibels,Tub de ressonància amb diapasó i nivell sonor,2014,extraordinaria,5,5,B,antic,actual,Vibracions i ones,ressonància i harmònics en tubs i cordes; ones estacionàries; ones sonores i nivell d'intensitat,càlcul; diagrama; experimental,3,2,2,2,tub de ressonància; diapasó; ona estacionària; ventre; node; velocitat del so; intensitat sonora; decibels,False
2014_ord_s3_P1_meteosat-orbita-geostacionaria,Meteosat en òrbita geostacionària,2014,ordinaria,3,1,,antic,actual,Camps gravitatoris,òrbites circulars i satèl·lits; energia mecànica orbital; velocitat d'escapament,càlcul,3,2,2,1,Meteosat; satèl·lit meteorològic; òrbita geostacionària; període orbital; altura orbital; energia cinètica; energia mecànica; escapament,False
2014_ord_s3_P2_dues-carregues-camp-potencial,Camp i potencial de dues càrregues puntuals,2014,ordinaria,3,2,,antic,actual,Camps electromagnètics,camp elèctric i llei de Coulomb; potencial i energia potencial elèctrica,càlcul; diagrama,3,2,2,1,càrregues puntuals; principi de superposició; camp elèctric; potencial elèctric; treball del camp elèctric; diferència de potencial,False
2014_ord_s3_P3A_fotoemissio-uv-funcio-treball,Espectroscòpia de fotoemissió ultraviolada,2014,ordinaria,3,3,A,antic,actual,"Física relativista, quàntica i nuclear",efecte fotoelèctric,càlcul; qualitativa,2,2,2,0,espectroscòpia de fotoemissió; radiació ultraviolada; funció de treball; energia cinètica màxima; longitud d'ona llindar; potència del feix; fotoelectrons,False
2014_ord_s3_P3B_carboni-14-datacio-restes,Datació de restes òssies amb carboni 14,2014,ordinaria,3,3,B,antic,actual,"Física relativista, quàntica i nuclear",radioactivitat i llei de desintegració; reaccions nuclears i defecte de massa; aplicacions i riscos de la radioactivitat,càlcul,3,2,2,0,carboni 14; datació radiomètrica; jaciment arqueològic; període de semidesintegració; desintegració beta; antineutrí; defecte de massa; nucleó,False
2014_ord_s3_P4A_transformador-soldadura-electrica,Transformador d'un aparell de soldadura elèctrica,2014,ordinaria,3,4,A,antic,actual,Camps electromagnètics,"generadors, motors i transformadors; flux magnètic i inducció (Faraday-Lenz)",càlcul,2,2,2,0,transformador; soldadura elèctrica; bobina primària; bobina secundària; relació d'espires; tensió alterna; potència elèctrica,False
2014_ord_s3_P4B_barra-mhs-forca-conductora,Barra en MHS sobre una forca conductora,2014,ordinaria,3,4,B,antic,actual,Camps electromagnètics,flux magnètic i inducció (Faraday-Lenz); moviment harmònic simple,càlcul; deducció,3,2,2,1,barra lliscant; forca conductora; flux magnètic; llei de Faraday; força electromotriu induïda; moviment harmònic simple; camp magnètic uniforme,False
2014_ord_s3_P5A_trompeta-ones-estacionaries,Ones estacionàries en una trompeta,2014,ordinaria,3,5,A,antic,actual,Vibracions i ones,ones estacionàries; ressonància i harmònics en tubs i cordes,càlcul; deducció,3,2,2,0,trompeta; instrument de vent; tub tancat per un extrem; harmònics; modes de vibració; pistó; longitud efectiva; velocitat del so,False
2014_ord_s3_P5B_timbre-escola-nivell-intensitat,Timbre d'una escola i nivell d'intensitat sonora,2014,ordinaria,3,5,B,antic,actual,Vibracions i ones,ones sonores i nivell d'intensitat,càlcul,2,2,2,0,timbre; nivell d'intensitat sonora; decibels; intensitat del so; potència sonora; emissor puntual; llindar d'audició; telèfon intel·ligent,False
2014_ord_s4_P1_meteorit-lluna-energia-mecanica,Meteorit que cau sobre la Lluna,2014,ordinaria,4,1,,antic,actual,Camps gravitatoris,energia potencial i potencial gravitatori; energia mecànica orbital; òrbites circulars i satèl·lits,càlcul; qualitativa,3,2,2,0,meteorit; Lluna; conservació de l'energia; energia potencial gravitatòria; energia mecànica; òrbita circular; velocitat d'impacte,False
2014_ord_s4_P2_motor-ionic-xeno-plaques,Motor iònic d'ions de xenó,2014,ordinaria,4,2,,antic,actual,Camps electromagnètics,moviment de càrregues en camps elèctrics; potencial i energia potencial elèctrica,càlcul; qualitativa,2,2,2,1,motor iònic; ions de xenó; nau espacial; camp elèctric uniforme; plaques paral·leles; diferència de potencial; teorema de les forces vives; unitat de massa atòmica,False
2014_ord_s4_P3A_poloni-210-litvinenko,Enverinament de Litvinenko amb poloni 210,2014,ordinaria,4,3,A,antic,actual,"Física relativista, quàntica i nuclear",radioactivitat i llei de desintegració; aplicacions i riscos de la radioactivitat,càlcul,2,2,2,1,poloni 210; Litvinenko; desintegració alfa; plom; període de semidesintegració efectiu; llei de desintegració; enverinament; síndrome de radiació aguda,False
2014_ord_s4_P3B_porta-fotoelectric-de-broglie,Porta automàtica amb dispositiu fotoelèctric,2014,ordinaria,4,3,B,antic,actual,"Física relativista, quàntica i nuclear",efecte fotoelèctric; dualitat ona-partícula,càlcul,2,2,2,0,porta automàtica; cèl·lula fotoelèctrica; efecte fotoelèctric; funció de treball; energia cinètica dels fotoelectrons; longitud d'ona de De Broglie; infraroig,False
2014_ord_s4_P4A_vareta-forca-conductora-fem,Vareta que llisca sobre una forca conductora,2014,ordinaria,4,4,A,antic,actual,Camps electromagnètics,flux magnètic i inducció (Faraday-Lenz); força magnètica sobre corrents i entre fils,càlcul; qualitativa; diagrama,3,2,2,2,vareta mòbil; forca conductora; força electromotriu induïda; llei de Faraday; llei de Lenz; sentit del corrent; força magnètica; llei d'Ohm,False
2014_ord_s4_P4B_protons-aula-camp-magnetic,Protons que entren en un camp magnètic dins l'aula,2014,ordinaria,4,4,B,antic,actual,Camps electromagnètics,moviment de càrregues en camps magnètics,càlcul; qualitativa,2,2,2,0,protons; força de Lorentz; producte vectorial; camp magnètic uniforme; moviment circular uniforme; radi de la trajectòria; aula,False
2014_ord_s4_P5A_agulla-maquina-cosir-mhs,Agulla d'una màquina de cosir en MHS,2014,ordinaria,4,5,A,antic,actual,Vibracions i ones,moviment harmònic simple,càlcul,2,2,2,1,màquina de cosir; agulla; moviment harmònic simple; freqüència; amplitud; equació del moviment; velocitat màxima; acceleració màxima,False
2014_ord_s4_P5B_violi-corda-ones-estacionaries,Ones estacionàries en la corda d'un violí,2014,ordinaria,4,5,B,antic,actual,Vibracions i ones,ones estacionàries; ressonància i harmònics en tubs i cordes,càlcul; qualitativa; diagrama,2,2,2,3,violí; corda; ona estacionària; mode fonamental; harmònics; nodes i ventres; velocitat de propagació,False
2015_ext_s5_P1_curiosity-mart-deimos,"Mart, Deimos i el robot Curiosity",2015,extraordinaria,5,1,,antic,actual,Camps gravitatoris,camp gravitatori i superposició; òrbites circulars i satèl·lits; velocitat d'escapament,càlcul,2,2,2,1,Mart; Deimos; Fobos; Curiosity; massa d'un planeta; radi orbital; període orbital; velocitat d'escapament,False
2015_ext_s5_P2_doppler-grafica-intensitat-sonora,Efecte Doppler a partir d'una gràfica i intensitat sonora,2015,extraordinaria,5,2,,antic,actual,Vibracions i ones,efecte Doppler; ones sonores i nivell d'intensitat,càlcul; gràfic; experimental,3,2,2,2,efecte Doppler; font de so en moviment; freqüència percebuda; gràfica; intensitat sonora; nivell d'intensitat; decibels; potència sonora,False
2015_ext_s5_P3A_rado-222-desintegracio-gamma,Desintegració alfa del radó 222 i fotons gamma,2015,extraordinaria,5,3,A,antic,actual,"Física relativista, quàntica i nuclear",radioactivitat i llei de desintegració; fotons i energia de la radiació,càlcul,1,2,2,0,radó 222; desintegració alfa; equació nuclear; raigs gamma; fotó; freqüència; longitud d'ona; radiacions ionitzants,False
2015_ext_s5_P3B_copernici-sintesi-desintegracio,Síntesi i sèrie radioactiva del copernici 277,2015,extraordinaria,5,3,B,antic,actual,"Física relativista, quàntica i nuclear",reaccions nuclears i defecte de massa; radioactivitat i llei de desintegració,càlcul; qualitativa,2,2,2,1,copernici; elements superpesants; reacció nuclear; neutró; període de semidesintegració; sèrie radioactiva; desintegració alfa; GSI Darmstadt,False
2015_ext_s5_P4A_esferes-carregades-penjades,Dues esferes carregades penjades de fils,2015,extraordinaria,5,4,A,antic,actual,Camps electromagnètics,equilibri de càrregues en camps elèctrics; camp elèctric i llei de Coulomb,càlcul; diagrama,3,2,2,2,esferes carregades; pèndol elèctric; llei de Coulomb; equilibri de forces; tensió del fil; camp elèctric; superposició,False
2015_ext_s5_P4B_dues-carregues-energia-treball,Energia potencial de dues càrregues de signe contrari,2015,extraordinaria,5,4,B,antic,actual,Camps electromagnètics,potencial i energia potencial elèctrica,càlcul,1,2,2,0,càrregues puntuals; energia potencial elèctrica; treball extern; força elèctrica; separació de càrregues,False
2015_ext_s5_P5A_selector-velocitats-proto,Selector de velocitats amb un protó,2015,extraordinaria,5,5,A,antic,actual,Camps electromagnètics,"selector de velocitats, espectròmetre i ciclotró; moviment de càrregues en camps magnètics",càlcul; diagrama,2,2,2,1,selector de velocitats; protó; camps creuats; força de Lorentz; gauss; radi de curvatura; trajectòria circular,False
2015_ext_s5_P5B_espira-giratoria-flux-fem,Espira circular que gira en un camp magnètic,2015,extraordinaria,5,5,B,antic,actual,Camps electromagnètics,"flux magnètic i inducció (Faraday-Lenz); generadors, motors i transformadors",càlcul; deducció,2,2,2,1,espira giratòria; flux magnètic; llei de Faraday; força electromotriu; velocitat angular; rpm; generador,False
2015_ord_s2_P1_teranyina-insecte-mhs,Vibració d'un insecte atrapat en una teranyina (MHS),2015,ordinaria,2,1,,antic,actual,Vibracions i ones,moviment harmònic simple,càlcul; deducció,2,2,2,1,teranyina; aranya; insecte; MHS; constant elàstica; freqüència; període; acceleració màxima,False
2015_ord_s2_P2_plaques-camp-electric-pols,Partícules de pols entre dues plaques carregades,2015,ordinaria,2,2,,antic,actual,Camps electromagnètics,potencial i energia potencial elèctrica; línies de camp i superfícies equipotencials; equilibri de càrregues en camps elèctrics; moviment de càrregues en camps elèctrics,càlcul; diagrama; qualitativa,3,2,2,2,plaques paral·leles; camp elèctric uniforme; diferència de potencial; línies de camp; partícula de pols; equilibri; càrrega elèctrica; segona llei de Newton,False
2015_ord_s2_P3A_galatea-neptu-satellit,"Galatea, satèl·lit de Neptú",2015,ordinaria,2,3,A,antic,actual,Camps gravitatoris,òrbites circulars i satèl·lits; camp gravitatori i superposició,càlcul,2,2,2,1,Galatea; Neptú; Voyager 2; satèl·lit; velocitat orbital; massa del planeta; intensitat del camp gravitatori; superfície,False
2015_ord_s2_P3B_estacio-espacial-velocitat-escapament,Estació Espacial Internacional i llançament d'un coet,2015,ordinaria,2,3,B,antic,actual,Camps gravitatoris,òrbites circulars i satèl·lits; velocitat d'escapament; energia mecànica orbital,càlcul,3,2,2,1,Estació Espacial Internacional; velocitat orbital; període orbital; velocitat d'escapament; coet; conservació de l'energia,False
2015_ord_s2_P4A_tres-fils-quadrat-camp-forca,Tres fils conductors als vèrtexs d'un quadrat,2015,ordinaria,2,4,A,antic,actual,Camps electromagnètics,camp magnètic creat per corrents; força magnètica sobre corrents i entre fils,càlcul; diagrama,3,2,2,4,fils conductors; fil infinit; quadrat; camp magnètic; superposició; força entre corrents; regla de la mà dreta; producte vectorial,False
2015_ord_s2_P4B_transformador-bobines-220-110,Transformador reductor de 220 V a 110 V amb bobines,2015,ordinaria,2,4,B,antic,actual,Camps electromagnètics,"generadors, motors i transformadors; flux magnètic i inducció (Faraday-Lenz)",qualitativa; càlcul; diagrama,2,2,2,1,transformador; bobines; espires; primari; secundari; tensió eficaç; valor màxim; corrent altern; potència,False
2015_ord_s2_P5A_urani-235-activitat-massa,Activitat i massa d'una mostra d'urani-235,2015,ordinaria,2,5,A,antic,actual,"Física relativista, quàntica i nuclear",radioactivitat i llei de desintegració,càlcul,2,2,2,0,urani-235; període de semidesintegració; constant de desintegració; activitat; becquerel; nombre d'Avogadro; llei de desintegració radioactiva,False
2015_ord_s2_P5B_cellula-fotoelectrica-llum-blava,Cèl·lula fotoelèctrica il·luminada amb llum blava,2015,ordinaria,2,5,B,antic,actual,"Física relativista, quàntica i nuclear",efecte fotoelèctric; fotons i energia de la radiació,càlcul,2,2,2,0,cèl·lula fotoelèctrica; llum blava; àngstrom; freqüència llindar; treball d'extracció; energia cinètica màxima; potencial de frenada; constant de Planck,False
2015_ord_s4_P1_dues-carregues-triangle-equilater,Camp i potencial de dues càrregues oposades en el vèrtex d'un triangle equilàter,2015,ordinaria,4,1,,antic,actual,Camps electromagnètics,camp elèctric i llei de Coulomb; potencial i energia potencial elèctrica,càlcul; diagrama; qualitativa,3,2,2,1,dipol elèctric; càrregues de signe contrari; triangle equilàter; superposició; camp elèctric; potencial elèctric; energia potencial elèctrica,False
2015_ord_s4_P2_desintegracions-successives-grafica,Dues desintegracions successives a partir d'un gràfic N-Z,2015,ordinaria,4,2,,antic,actual,"Física relativista, quàntica i nuclear",radioactivitat i llei de desintegració,gràfic; càlcul,3,2,2,2,desintegració beta; desintegració alfa; gràfic N-Z; plom-212; bismut-212; tal·li-208; antineutrí; període de semidesintegració; llei de desintegració,False
2015_ord_s4_P3A_sputnik-1-orbita-energia,Òrbita i energia de posada en òrbita de l'Sputnik 1,2015,ordinaria,4,3,A,antic,actual,Camps gravitatoris,òrbites circulars i satèl·lits; energia mecànica orbital,qualitativa; càlcul,3,2,2,1,Sputnik 1; satèl·lit geostacionari; òrbita circular; altura orbital; energia mecànica; rotació de la Terra; Baikonur; tercera llei de Kepler,False
2015_ord_s4_P3B_velocitat-escapament-lluna,Velocitat d'escapament i altura màxima a la Lluna,2015,ordinaria,4,3,B,antic,actual,Camps gravitatoris,velocitat d'escapament; energia potencial i potencial gravitatori,deducció; càlcul,3,2,2,0,velocitat d'escapament; Lluna; conservació de l'energia mecànica; llançament vertical; altura màxima; energia potencial gravitatòria,False
2015_ord_s4_P4A_particules-camp-magnetic-trajectories,Dues partícules carregades en un camp magnètic uniforme,2015,ordinaria,4,4,A,antic,actual,Camps electromagnètics,moviment de càrregues en camps magnètics,qualitativa; càlcul; diagrama,3,2,2,2,força de Lorentz; camp magnètic uniforme; trajectòria circular; signe de la càrrega; radi de la trajectòria; freqüència; producte vectorial,False
2015_ord_s4_P4B_boia-marina-mhs-energia,Boia marina amb moviment harmònic simple,2015,ordinaria,4,4,B,antic,actual,Vibracions i ones,moviment harmònic simple; energia del MHS,càlcul,2,2,2,0,boia; onatge; moviment harmònic simple; amplitud; període; equació del moviment; velocitat màxima; energia cinètica,False
2015_ord_s4_P5A_soprano-longitud-ona-nivell-sonor,"Veu de soprano, longituds d'ona i potència sonora",2015,ordinaria,4,5,A,antic,actual,Vibracions i ones,ones sonores i nivell d'intensitat,càlcul,2,2,2,0,soprano; so; longitud d'ona; freqüència; nivell d'intensitat sonora; decibels; potència sonora; ona esfèrica,False
2015_ord_s4_P5B_fil-infinit-espira-camp-magnetic,Camp magnètic d'un fil infinit i d'una espira al centre de l'espira,2015,ordinaria,4,5,B,antic,actual,Camps electromagnètics,camp magnètic creat per corrents,càlcul; qualitativa,3,2,2,2,fil infinit; espira circular; camp magnètic; superposició; regla de la mà dreta; camp nul; intensitat de corrent,False
2016_ext_s1_P1_curiosity-descens-mart,Descens del robot Curiosity a Mart,2016,extraordinaria,1,1,,antic,actual,Camps gravitatoris,energia potencial i potencial gravitatori; energia mecànica orbital; camp gravitatori i superposició; llei de la gravitació universal,càlcul,3,2,2,2,Curiosity; Mart; càpsula d'entrada atmosfèrica; energia mecànica; energia potencial gravitatòria; intensitat de camp gravitatori; força gravitatòria; descens,False
2016_ext_s1_P2_dos-fils-paralels-camp,Camp magnètic de dos fils paral·lels amb corrents iguals,2016,extraordinaria,1,2,,antic,actual,Camps electromagnètics,camp magnètic creat per corrents,càlcul; diagrama,2,2,2,2,fil rectilini; corrent elèctric; camp magnètic; superposició; regla de la mà dreta; fils paral·lels,False
2016_ext_s1_P3A_orgue-sagrada-familia-tub,Tub d'orgue obert de la Sagrada Família,2016,extraordinaria,1,3,A,antic,actual,Vibracions i ones,ressonància i harmònics en tubs i cordes; ones estacionàries,càlcul,2,2,2,1,orgue; Sagrada Família; tub obert; harmònics; freqüència fonamental; heli; velocitat del so,False
